"filename", "language", "JavaScript", "XML", "JSON", "Java", "HTML", "Batch", "Java Properties", "comment", "blank", "total"
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\CommunicationServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 16, 53
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\CoordinationService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 10, 20
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\CoordinationServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 18, 55
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\DepartementService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 10, 20
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\DepartementServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 18, 55
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\EntiteService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 9, 19
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\EntiteServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 18, 55
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\FederationService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 9, 19
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\FederationServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 19, 56
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\GradeService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 10, 20
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\GradeServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 19, 56
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\LigueService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 10, 20
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\LigueServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 19, 56
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\PaysService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 10, 20
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\PaysServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 20, 57
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\QuartierService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 9, 19
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\QuartierServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 19, 56
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\RegionService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 11, 21
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\RegionServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 19, 56
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\RoleService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 10, 20
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\RoleServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 18, 55
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\SecurityService.java", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\SecurityServiceImpl.java", "Java", 0, 0, 0, 27, 0, 0, 0, 0, 10, 37
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\UserDetailsServiceImpl.java", "Java", 0, 0, 0, 22, 0, 0, 0, 0, 11, 33
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\UserService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 9, 19
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\UserServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 20, 57
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\VillageService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 10, 20
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\VillageServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 18, 55
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\VilleService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 9, 19
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\VilleServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 17, 54
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\util\EmailUtil.java", "Java", 0, 0, 0, 27, 0, 0, 0, 0, 11, 38
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\js\App.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 13, 4, 2, 19
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\resources\templates\index.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\test\java\org\nioun\essentials\niounfull\NiounfullApplicationTests.java", "Java", 0, 0, 0, 6, 0, 0, 0, 7, 4, 17
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\test\java\org\nioun\essentials\niounfull\UserTests.java", "Java", 0, 0, 0, 76, 0, 0, 0, 3, 32, 111
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\webpack.config.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 5, 46
"Total", "-", 54, 110, 6186, 3630, 10, 102, 15, 84, 1431, 11622
